date,new_count,returning_count,lapsed_count,reactivated_count,new_percent,returning_percent,lapsed_percent,reactivated_percent
09/12/2021,11,8573,12442,1811,0%,38%,54%,8%
10/12/2021,2,8641,12478,1828,0%,38%,54%,8%
11/12/2021,8,8684,12500,1841,0%,38%,54%,8%
12/12/2021,6,8778,12526,1856,0%,38%,54%,8%
13/12/2021,5,8820,12558,1866,0%,38%,54%,8%
14/12/2021,8,8881,12597,1893,0%,38%,54%,8%
15/12/2021,14,8979,12626,1902,0%,38%,54%,8%
16/12/2021,3,9008,12660,1918,0%,38%,54%,8%
17/12/2021,5,9007,12704,1935,0%,38%,54%,8%
18/12/2021,4,9008,12749,1951,0%,38%,54%,8%
19/12/2021,4,9020,12805,1965,0%,38%,54%,8%
20/12/2021,9,9019,12849,1987,0%,38%,54%,8%
21/12/2021,3,9008,12914,2016,0%,38%,54%,8%
22/12/2021,9,9036,12976,2054,0%,38%,54%,9%
23/12/2021,7,9040,13037,2077,0%,37%,54%,9%
24/12/2021,3,9071,13104,2119,0%,37%,54%,9%
25/12/2021,5,9105,13144,2137,0%,37%,54%,9%
26/12/2021,6,9161,13184,2144,0%,37%,54%,9%
27/12/2021,1,9204,13203,2159,0%,37%,54%,9%
28/12/2021,5,9248,13233,2178,0%,37%,54%,9%
29/12/2021,8,9299,13256,2192,0%,38%,54%,9%
30/12/2021,7,9355,13283,2211,0%,38%,53%,9%
31/12/2021,10,9508,13283,2211,0%,38%,53%,9%
01/01/2022,6,9535,13312,2231,0%,38%,53%,9%
02/01/2022,4,9576,13329,2240,0%,38%,53%,9%
03/01/2022,3,9622,13347,2253,0%,38%,53%,9%
04/01/2022,5,9678,13372,2260,0%,38%,53%,9%
05/01/2022,8,9733,13391,2272,0%,38%,53%,9%
06/01/2022,8,9779,13411,2292,0%,38%,53%,9%
07/01/2022,9,9828,13438,2305,0%,38%,53%,9%
08/01/2022,9,9882,13461,2327,0%,38%,52%,9%
09/01/2022,6,9933,13480,2346,0%,39%,52%,9%
10/01/2022,5,9989,13500,2365,0%,39%,52%,9%
11/01/2022,13,10065,13516,2377,0%,39%,52%,9%
12/01/2022,2,10121,13534,2383,0%,39%,52%,9%
13/01/2022,3,10160,13557,2392,0%,39%,52%,9%
14/01/2022,4,10201,13578,2407,0%,39%,52%,9%
15/01/2022,4,10232,13598,2426,0%,39%,52%,9%
16/01/2022,5,10289,13622,2436,0%,39%,52%,9%
17/01/2022,6,10342,13642,2445,0%,39%,52%,9%
18/01/2022,10,10431,13654,2455,0%,39%,51%,9%
19/01/2022,12,10526,13663,2463,0%,39%,51%,9%
20/01/2022,4,10626,13672,2472,0%,40%,51%,9%
21/01/2022,3,10711,13678,2477,0%,40%,51%,9%
22/01/2022,8,10774,13686,2484,0%,40%,51%,9%
23/01/2022,10,10861,13695,2492,0%,40%,51%,9%
24/01/2022,9,10953,13705,2500,0%,40%,50%,9%
25/01/2022,12,11069,13720,2512,0%,41%,50%,9%
26/01/2022,8,11172,13731,2522,0%,41%,50%,9%
27/01/2022,10,11281,13747,2535,0%,41%,50%,9%
28/01/2022,19,11397,13768,2552,0%,41%,50%,9%
29/01/2022,11,11523,13786,2566,0%,41%,49%,9%
30/01/2022,15,11630,13799,2578,0%,42%,49%,9%
31/01/2022,15,11741,13820,2590,0%,42%,49%,9%
01/02/2022,6,11810,13840,2603,0%,42%,49%,9%
02/02/2022,1,11858,13862,2618,0%,42%,49%,9%
03/02/2022,5,11895,13873,2628,0%,42%,49%,9%
04/02/2022,2,11931,13893,2638,0%,42%,49%,9%
05/02/2022,1,11975,13913,2648,0%,42%,49%,9%
06/02/2022,6,12007,13927,2657,0%,42%,49%,9%
07/02/2022,5,12081,13955,2673,0%,42%,49%,9%
08/02/2022,5,12161,13978,2681,0%,42%,48%,9%
09/02/2022,10,12243,14002,2692,0%,42%,48%,9%
10/02/2022,2,12323,14022,2708,0%,42%,48%,9%
11/02/2022,10,12395,14051,2727,0%,42%,48%,9%
12/02/2022,6,12465,14073,2745,0%,43%,48%,9%
13/02/2022,4,12552,14089,2762,0%,43%,48%,9%
14/02/2022,3,12621,14112,2776,0%,43%,48%,9%
15/02/2022,3,12676,14128,2783,0%,43%,48%,9%
16/02/2022,9,12744,14144,2794,0%,43%,48%,9%
17/02/2022,2,12809,14166,2806,0%,43%,48%,9%
18/02/2022,6,12865,14185,2820,0%,43%,47%,9%
19/02/2022,4,12894,14204,2831,0%,43%,47%,9%
20/02/2022,8,12936,14229,2848,0%,43%,47%,9%
21/02/2022,7,12993,14256,2864,0%,43%,47%,10%
22/02/2022,4,13059,14286,2874,0%,43%,47%,10%
23/02/2022,5,13131,14309,2892,0%,43%,47%,10%
24/02/2022,4,13206,14335,2899,0%,43%,47%,10%
25/02/2022,2,13282,14358,2908,0%,43%,47%,10%
26/02/2022,8,13381,14375,2922,0%,44%,47%,10%
27/02/2022,6,13490,14398,2936,0%,44%,47%,10%
28/02/2022,15,13587,14422,2957,0%,44%,47%,10%
01/03/2022,3,13497,14550,3039,0%,43%,47%,10%
02/03/2022,3,13543,14580,3056,0%,43%,47%,10%
03/03/2022,4,13568,14607,3075,0%,43%,47%,10%
04/03/2022,1,13584,14634,3095,0%,43%,47%,10%
05/03/2022,2,13620,14660,3111,0%,43%,47%,10%
06/03/2022,4,13664,14681,3127,0%,43%,47%,10%
07/03/2022,6,13753,14709,3146,0%,44%,47%,10%
08/03/2022,8,13840,14730,3162,0%,44%,46%,10%
09/03/2022,6,13921,14757,3179,0%,44%,46%,10%
10/03/2022,9,14009,14782,3193,0%,44%,46%,10%
11/03/2022,5,14092,14805,3207,0%,44%,46%,10%
12/03/2022,4,14155,14827,3221,0%,44%,46%,10%
13/03/2022,15,14243,14856,3240,0%,44%,46%,10%
14/03/2022,6,14357,14883,3254,0%,44%,46%,10%
15/03/2022,6,14433,14909,3258,0%,44%,46%,10%
16/03/2022,4,14526,14943,3268,0%,44%,46%,10%
17/03/2022,9,14591,14971,3278,0%,44%,46%,10%
18/03/2022,6,14657,14997,3295,0%,44%,46%,10%
19/03/2022,5,14727,15017,3306,0%,45%,45%,10%
20/03/2022,15,14789,15032,3323,0%,45%,45%,10%
21/03/2022,9,14892,15069,3332,0%,45%,45%,10%
22/03/2022,3,14983,15104,3346,0%,45%,45%,10%
23/03/2022,10,15050,15124,3365,0%,45%,45%,10%
24/03/2022,7,15116,15160,3386,0%,45%,45%,10%
25/03/2022,4,15192,15198,3407,0%,45%,45%,10%
26/03/2022,5,15227,15220,3417,0%,45%,45%,10%
27/03/2022,2,15287,15254,3435,0%,45%,45%,10%
28/03/2022,10,15381,15274,3451,0%,45%,45%,10%
29/03/2022,1,15486,15298,3463,0%,45%,45%,10%
30/03/2022,8,15585,15329,3477,0%,45%,45%,10%
31/03/2022,10,15767,15329,3477,0%,46%,44%,10%
01/04/2022,8,15839,15367,3493,0%,46%,44%,10%
02/04/2022,7,15917,15380,3509,0%,46%,44%,10%
03/04/2022,9,16014,15394,3525,0%,46%,44%,10%
04/04/2022,14,16143,15411,3541,0%,46%,44%,10%
05/04/2022,25,16312,15426,3558,0%,46%,44%,10%
06/04/2022,9,16471,15456,3572,0%,46%,44%,10%
07/04/2022,14,16570,15472,3581,0%,46%,43%,10%
08/04/2022,6,16671,15492,3596,0%,47%,43%,10%
09/04/2022,4,16763,15520,3607,0%,47%,43%,10%
10/04/2022,10,16826,15544,3623,0%,47%,43%,10%
11/04/2022,9,16958,15574,3642,0%,47%,43%,10%
12/04/2022,13,17036,15600,3655,0%,47%,43%,10%
13/04/2022,14,17130,15626,3675,0%,47%,43%,10%
14/04/2022,6,17255,15650,3691,0%,47%,43%,10%
15/04/2022,11,17341,15672,3701,0%,47%,43%,10%
16/04/2022,10,17433,15696,3721,0%,47%,43%,10%
17/04/2022,9,17539,15721,3738,0%,47%,42%,10%
18/04/2022,12,17661,15753,3756,0%,47%,42%,10%
19/04/2022,11,17808,15780,3765,0%,48%,42%,10%
20/04/2022,7,17936,15802,3781,0%,48%,42%,10%
21/04/2022,5,18041,15828,3796,0%,48%,42%,10%
22/04/2022,7,18152,15852,3810,0%,48%,42%,10%
23/04/2022,11,18246,15879,3824,0%,48%,42%,10%
24/04/2022,9,18398,15912,3835,0%,48%,42%,10%
25/04/2022,14,18555,15940,3851,0%,48%,42%,10%
26/04/2022,9,18711,15966,3864,0%,49%,41%,10%
27/04/2022,16,18865,15994,3875,0%,49%,41%,10%
28/04/2022,8,18984,16019,3887,0%,49%,41%,10%
29/04/2022,11,19103,16046,3900,0%,49%,41%,10%
30/04/2022,17,19281,16067,3913,0%,49%,41%,10%
01/05/2022,10,19335,16127,3940,0%,49%,41%,10%
02/05/2022,8,19358,16157,3953,0%,49%,41%,10%
03/05/2022,6,19408,16187,3970,0%,49%,41%,10%
04/05/2022,6,19450,16210,3986,0%,49%,41%,10%
05/05/2022,8,19517,16250,4008,0%,49%,41%,10%
06/05/2022,10,19597,16280,4034,0%,49%,41%,10%
07/05/2022,11,19669,16324,4054,0%,49%,41%,10%
08/05/2022,10,19729,16362,4082,0%,49%,41%,10%
09/05/2022,4,19781,16398,4102,0%,49%,41%,10%
10/05/2022,5,19823,16450,4139,0%,49%,41%,10%
11/05/2022,6,19817,16507,4160,0%,49%,41%,10%
12/05/2022,8,19851,16593,4203,0%,49%,41%,10%
13/05/2022,0,19924,16655,4233,0%,49%,41%,10%
14/05/2022,6,19966,16711,4249,0%,49%,41%,10%
15/05/2022,12,20074,16767,4274,0%,49%,41%,10%
16/05/2022,7,20194,16799,4293,0%,49%,41%,10%
17/05/2022,10,20310,16845,4307,0%,49%,41%,10%
18/05/2022,11,20427,16894,4327,0%,49%,41%,10%
19/05/2022,5,20531,16922,4342,0%,49%,40%,10%
20/05/2022,7,20646,16947,4359,0%,49%,40%,10%
21/05/2022,3,20692,16968,4366,0%,49%,40%,10%
22/05/2022,3,20747,16996,4385,0%,49%,40%,10%
23/05/2022,10,20857,17033,4408,0%,49%,40%,10%
24/05/2022,11,20966,17074,4426,0%,49%,40%,10%
25/05/2022,5,21046,17124,4453,0%,49%,40%,10%
26/05/2022,9,21034,17185,4491,0%,49%,40%,11%
27/05/2022,6,21115,17301,4567,0%,49%,40%,11%
28/05/2022,15,21131,17353,4602,0%,49%,40%,11%
29/05/2022,14,21211,17434,4656,0%,49%,40%,11%
30/05/2022,17,21403,17502,4698,0%,49%,40%,11%
31/05/2022,5,21616,17502,4698,0%,49%,40%,11%
01/06/2022,6,21686,17540,4709,0%,49%,40%,11%
02/06/2022,7,21815,17580,4726,0%,49%,40%,11%
03/06/2022,10,21909,17620,4742,0%,49%,40%,11%
04/06/2022,5,21992,17670,4760,0%,50%,40%,11%
05/06/2022,10,22086,17703,4778,0%,50%,40%,11%
06/06/2022,7,22191,17740,4797,0%,50%,40%,11%
07/06/2022,21,22299,17800,4831,0%,50%,40%,11%
08/06/2022,8,22437,17842,4864,0%,50%,40%,11%
09/06/2022,13,22582,17892,4889,0%,50%,39%,11%
10/06/2022,10,22723,17972,4918,0%,50%,39%,11%
11/06/2022,11,22823,18025,4959,0%,50%,39%,11%
12/06/2022,7,22901,18085,4989,0%,50%,39%,11%
13/06/2022,8,23091,18171,5037,0%,50%,39%,11%
14/06/2022,14,23225,18234,5081,0%,50%,39%,11%
15/06/2022,12,23269,18311,5106,0%,50%,39%,11%
16/06/2022,13,23431,18410,5161,0%,50%,39%,11%
17/06/2022,5,23595,18464,5186,0%,50%,39%,11%
18/06/2022,6,23688,18505,5207,0%,50%,39%,11%
19/06/2022,10,23824,18554,5228,0%,50%,39%,11%
20/06/2022,8,23950,18604,5256,0%,50%,39%,11%
21/06/2022,10,24089,18675,5283,0%,50%,39%,11%
22/06/2022,16,24199,18730,5311,0%,50%,39%,11%
23/06/2022,8,24318,18808,5351,0%,50%,39%,11%
24/06/2022,10,24465,18883,5387,0%,50%,39%,11%
25/06/2022,6,24520,18932,5423,0%,50%,39%,11%
26/06/2022,12,24559,18992,5446,0%,50%,39%,11%
27/06/2022,6,24636,19047,5482,0%,50%,39%,11%
28/06/2022,13,24710,19106,5510,0%,50%,39%,11%
29/06/2022,7,24807,19163,5538,0%,50%,39%,11%
30/06/2022,11,24870,19227,5574,0%,50%,39%,11%
01/07/2022,12,24802,19412,5649,0%,50%,39%,11%
02/07/2022,10,24875,19448,5662,0%,50%,39%,11%
03/07/2022,5,24936,19497,5683,0%,50%,39%,11%
04/07/2022,3,25015,19551,5706,0%,50%,39%,11%
05/07/2022,10,25048,19619,5727,0%,50%,39%,11%
06/07/2022,2,25092,19692,5752,0%,50%,39%,11%
07/07/2022,3,25108,19749,5781,0%,50%,39%,11%
08/07/2022,3,25097,19816,5809,0%,49%,39%,11%
09/07/2022,1,25082,19881,5836,0%,49%,39%,11%
10/07/2022,7,25077,19948,5856,0%,49%,39%,12%
11/07/2022,1,25071,20001,5886,0%,49%,39%,12%
12/07/2022,5,25095,20075,5920,0%,49%,39%,12%
13/07/2022,2,25148,20132,5940,0%,49%,39%,12%
14/07/2022,12,25197,20181,5967,0%,49%,39%,12%
15/07/2022,3,25242,20239,5990,0%,49%,39%,12%
16/07/2022,5,25246,20280,6014,0%,49%,39%,12%
17/07/2022,4,25269,20340,6041,0%,49%,39%,12%
18/07/2022,4,25279,20386,6071,0%,49%,39%,12%
19/07/2022,6,25285,20462,6105,0%,49%,39%,12%
20/07/2022,10,25291,20539,6143,0%,49%,40%,12%
21/07/2022,6,25345,20604,6181,0%,49%,40%,12%
22/07/2022,7,25398,20669,6215,0%,49%,40%,12%
23/07/2022,8,25439,20722,6247,0%,49%,40%,12%
24/07/2022,8,25466,20794,6282,0%,48%,40%,12%
25/07/2022,7,25497,20877,6317,0%,48%,40%,12%
26/07/2022,8,25528,20967,6367,0%,48%,40%,12%
27/07/2022,3,25528,21061,6401,0%,48%,40%,12%
28/07/2022,6,25523,21162,6449,0%,48%,40%,12%
29/07/2022,9,25534,21282,6486,0%,48%,40%,12%
30/07/2022,6,25547,21387,6524,0%,48%,40%,12%
31/07/2022,9,25564,21480,6575,0%,48%,40%,12%
01/08/2022,5,25626,21587,6612,0%,48%,40%,12%
02/08/2022,7,25700,21654,6642,0%,48%,40%,12%
03/08/2022,2,25745,21702,6658,0%,48%,40%,12%
04/08/2022,5,25827,21750,6681,0%,48%,40%,12%
05/08/2022,7,25885,21794,6700,0%,48%,40%,12%
06/08/2022,8,25912,21845,6715,0%,48%,40%,12%
07/08/2022,6,25918,21903,6738,0%,47%,40%,12%
08/08/2022,6,25950,21979,6766,0%,47%,40%,12%
09/08/2022,5,25979,22064,6796,0%,47%,40%,12%
10/08/2022,9,26023,22145,6838,0%,47%,40%,12%
11/08/2022,7,26087,22226,6877,0%,47%,40%,12%
12/08/2022,4,26136,22318,6905,0%,47%,40%,12%
13/08/2022,5,26147,22387,6935,0%,47%,40%,13%
14/08/2022,8,26177,22476,6968,0%,47%,40%,13%
15/08/2022,7,26285,22536,6999,0%,47%,40%,13%
16/08/2022,7,26362,22594,7023,0%,47%,40%,13%
17/08/2022,10,26445,22670,7055,0%,47%,40%,13%
18/08/2022,5,26514,22730,7086,0%,47%,40%,13%
19/08/2022,10,26573,22796,7110,0%,47%,40%,13%
20/08/2022,7,26640,22849,7126,0%,47%,40%,13%
21/08/2022,6,26666,22915,7149,0%,47%,40%,13%
22/08/2022,14,26776,22991,7169,0%,47%,40%,13%
23/08/2022,6,26871,23064,7200,0%,47%,40%,13%
24/08/2022,12,26926,23147,7223,0%,47%,40%,13%
25/08/2022,3,26987,23216,7260,0%,47%,40%,13%
26/08/2022,7,26990,23281,7300,0%,47%,40%,13%
27/08/2022,7,26960,23389,7334,0%,47%,41%,13%
28/08/2022,4,26955,23496,7379,0%,47%,41%,13%
29/08/2022,6,27086,23496,7379,0%,47%,41%,13%
30/08/2022,9,27291,23496,7379,0%,47%,40%,13%
31/08/2022,12,27501,23496,7379,0%,47%,40%,13%
01/09/2022,6,27551,23630,7406,0%,47%,40%,13%
02/09/2022,4,27622,23705,7431,0%,47%,40%,13%
03/09/2022,3,27671,23769,7459,0%,47%,40%,13%
04/09/2022,7,27756,23821,7480,0%,47%,40%,13%
05/09/2022,5,27851,23865,7491,0%,47%,40%,13%
06/09/2022,8,27931,23914,7516,0%,47%,40%,13%
07/09/2022,8,28015,23981,7542,0%,47%,40%,13%
08/09/2022,7,28048,24076,7575,0%,47%,40%,13%
09/09/2022,4,28094,24168,7616,0%,47%,40%,13%
10/09/2022,2,28093,24255,7647,0%,47%,40%,13%
11/09/2022,8,28109,24341,7689,0%,47%,40%,13%
12/09/2022,9,28208,24415,7730,0%,47%,40%,13%
13/09/2022,5,28250,24489,7766,0%,47%,40%,13%
14/09/2022,4,28304,24593,7802,0%,47%,41%,13%
15/09/2022,4,28354,24692,7838,0%,47%,41%,13%
16/09/2022,3,28371,24780,7870,0%,46%,41%,13%
17/09/2022,9,28364,24874,7905,0%,46%,41%,13%
18/09/2022,4,28397,24966,7926,0%,46%,41%,13%
19/09/2022,5,28464,25038,7948,0%,46%,41%,13%
20/09/2022,6,28506,25108,7979,0%,46%,41%,13%
21/09/2022,4,28542,25194,8011,0%,46%,41%,13%
22/09/2022,6,28630,25294,8057,0%,46%,41%,13%
23/09/2022,8,28718,25382,8093,0%,46%,41%,13%
24/09/2022,8,28766,25478,8128,0%,46%,41%,13%
25/09/2022,5,28855,25573,8155,0%,46%,41%,13%
26/09/2022,7,28986,25655,8178,0%,46%,41%,13%
27/09/2022,2,29111,25722,8199,0%,46%,41%,13%
28/09/2022,5,29138,25793,8221,0%,46%,41%,13%
29/09/2022,8,29141,25886,8266,0%,46%,41%,13%
30/09/2022,7,29175,25992,8301,0%,46%,41%,13%
01/10/2022,0,29016,26252,8385,0%,46%,41%,13%
02/10/2022,3,29036,26330,8406,0%,46%,41%,13%
03/10/2022,5,29048,26414,8429,0%,45%,41%,13%
04/10/2022,6,29016,26508,8467,0%,45%,41%,13%
05/10/2022,3,28940,26621,8520,0%,45%,42%,13%
06/10/2022,3,28923,26778,8587,0%,45%,42%,13%
07/10/2022,5,28866,26900,8633,0%,45%,42%,13%
08/10/2022,3,28832,27005,8667,0%,45%,42%,13%
09/10/2022,2,28827,27103,8701,0%,45%,42%,13%
10/10/2022,8,28869,27193,8741,0%,45%,42%,13%
11/10/2022,4,28833,27273,8779,0%,44%,42%,14%
12/10/2022,1,28847,27395,8827,0%,44%,42%,14%
13/10/2022,5,28791,27495,8855,0%,44%,42%,14%
14/10/2022,4,28806,27597,8888,0%,44%,42%,14%
15/10/2022,13,28842,27701,8933,0%,44%,42%,14%
16/10/2022,7,28893,27798,8971,0%,44%,42%,14%
17/10/2022,5,28964,27887,9015,0%,44%,42%,14%
18/10/2022,2,28998,28004,9053,0%,44%,42%,14%
19/10/2022,2,28994,28134,9084,0%,44%,42%,14%
20/10/2022,6,28998,28267,9135,0%,44%,43%,14%
21/10/2022,6,29018,28384,9183,0%,44%,43%,14%
22/10/2022,7,28982,28495,9213,0%,43%,43%,14%
23/10/2022,3,28984,28613,9249,0%,43%,43%,14%
24/10/2022,3,28958,28713,9291,0%,43%,43%,14%
25/10/2022,0,28887,28855,9343,0%,43%,43%,14%
26/10/2022,4,28847,28999,9400,0%,43%,43%,14%
27/10/2022,2,28780,29136,9453,0%,43%,43%,14%
28/10/2022,2,28754,29278,9509,0%,43%,43%,14%
29/10/2022,3,28711,29393,9545,0%,42%,43%,14%
30/10/2022,5,28600,29510,9584,0%,42%,44%,14%
31/10/2022,14,28786,29510,9584,0%,42%,43%,14%
01/11/2022,3,28849,29673,9643,0%,42%,44%,14%
02/11/2022,4,28927,29777,9678,0%,42%,44%,14%
03/11/2022,5,29038,29828,9695,0%,42%,44%,14%
04/11/2022,9,29087,29885,9725,0%,42%,43%,14%
05/11/2022,5,29107,29960,9754,0%,42%,44%,14%
06/11/2022,7,29146,30045,9794,0%,42%,44%,14%
07/11/2022,12,29239,30150,9835,0%,42%,44%,14%
08/11/2022,7,29354,30246,9878,0%,42%,44%,14%
09/11/2022,10,29495,30326,9913,0%,42%,43%,14%
10/11/2022,7,29597,30416,9958,0%,42%,43%,14%
11/11/2022,16,29841,30509,9986,0%,42%,43%,14%
12/11/2022,10,29939,30595,10024,0%,42%,43%,14%
13/11/2022,5,29981,30688,10059,0%,42%,43%,14%
14/11/2022,11,30024,30799,10085,0%,42%,43%,14%
15/11/2022,4,30054,30898,10115,0%,42%,43%,14%
16/11/2022,5,30034,31017,10161,0%,42%,44%,14%
17/11/2022,7,30034,31142,10211,0%,42%,44%,14%
18/11/2022,4,30039,31287,10254,0%,42%,44%,14%
19/11/2022,9,30059,31412,10290,0%,42%,44%,14%
20/11/2022,15,30104,31511,10331,0%,42%,44%,14%
21/11/2022,13,30268,31612,10375,0%,42%,44%,14%
22/11/2022,17,30484,31674,10402,0%,42%,44%,14%
23/11/2022,8,30594,31756,10435,0%,42%,44%,14%
24/11/2022,29,30869,31884,10483,0%,42%,44%,14%
25/11/2022,38,31403,32028,10526,0%,42%,43%,14%
26/11/2022,26,31595,32147,10580,0%,42%,43%,14%
27/11/2022,20,31770,32284,10627,0%,43%,43%,14%
28/11/2022,12,31890,32412,10664,0%,43%,43%,14%
29/11/2022,3,31867,32532,10704,0%,42%,43%,14%
30/11/2022,4,31773,32658,10767,0%,42%,43%,14%
01/12/2022,7,31598,32985,10885,0%,42%,44%,14%
02/12/2022,5,31571,33077,10921,0%,42%,44%,14%
03/12/2022,4,31600,33209,10975,0%,42%,44%,14%
04/12/2022,12,31670,33332,11017,0%,42%,44%,14%
05/12/2022,8,31711,33423,11055,0%,42%,44%,15%
06/12/2022,19,31764,33542,11091,0%,42%,44%,15%
07/12/2022,21,31971,33683,11146,0%,42%,44%,15%
08/12/2022,18,32241,33827,11199,0%,42%,44%,14%
09/12/2022,22,32401,33967,11259,0%,42%,44%,14%
10/12/2022,12,32532,34144,11341,0%,42%,44%,15%
11/12/2022,29,32784,34314,11403,0%,42%,44%,15%
12/12/2022,21,33037,34458,11450,0%,42%,44%,14%
13/12/2022,24,33208,34594,11522,0%,42%,44%,15%
14/12/2022,6,33241,34793,11621,0%,42%,44%,15%
15/12/2022,13,33307,34949,11707,0%,42%,44%,15%
16/12/2022,13,33328,35093,11759,0%,42%,44%,15%
17/12/2022,7,33390,35282,11812,0%,41%,44%,15%
18/12/2022,13,33494,35448,11864,0%,41%,44%,15%
19/12/2022,10,33585,35572,11904,0%,41%,44%,15%
20/12/2022,16,33770,35736,11958,0%,41%,44%,15%
21/12/2022,24,34051,35899,12017,0%,42%,44%,15%
22/12/2022,10,34187,36074,12066,0%,42%,44%,15%
23/12/2022,19,34297,36247,12127,0%,41%,44%,15%
24/12/2022,20,34403,36407,12189,0%,41%,44%,15%
25/12/2022,22,34692,36579,12251,0%,42%,44%,15%
26/12/2022,25,35050,36681,12283,0%,42%,44%,15%
27/12/2022,19,35317,36773,12327,0%,42%,44%,15%
28/12/2022,12,35468,36894,12364,0%,42%,44%,15%
29/12/2022,10,35568,37017,12407,0%,42%,44%,15%
30/12/2022,11,35696,37153,12462,0%,42%,44%,15%
31/12/2022,19,35984,37153,12462,0%,42%,43%,15%
